B Vmin,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,3.4000000000000004,6.800000000000001,14.399999999999999,19.0,29.4,36.0,46.2,57.599999999999994,65.2,70.0,76.6,79.0,85.0,88.0,91.4,94.0,93.60000000000001,98.4,98.2,99.2,99.8,100.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,3.2,6.4,16.0,23.599999999999998,32.6,42.4,49.2,45.0,50.6,48.8,43.0,40.400000000000006,36.199999999999996,29.4,28.000000000000004,20.200000000000003,19.400000000000002,14.2,11.600000000000001,8.4,6.0,6.4,1.4000000000000001,1.7999999999999998,0.8,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.0,10.4,18.0,26.6,48.199999999999996,59.0,63.0,67.4,66.0,63.2,57.4,49.6,41.8,40.0,29.4,21.6,20.8,13.200000000000001,6.2,5.4,2.0,3.2,1.6,0.8,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.8,16.8,37.8,56.599999999999994,71.8,83.6,87.4,84.8,80.80000000000001,71.8,51.4,40.8,33.800000000000004,26.200000000000003,18.0,13.200000000000001,8.6,4.6,2.1999999999999997,0.6,1.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,95.19999999999999,83.2,62.2,43.4,28.199999999999996,16.0,8.6,4.8,1.2,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
