Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.52986796309327,25.480542534567093,1149.4591365560418,1598.8643605185885
20,0,0,0,170.61334802602354,24.954487683232554,1123.1084475686482,1513.649098407553
30,0,0,0,168.44224823526977,25.53624997495511,1121.7297133530344,1449.806108685054
40,0,0,0,168.290415673998,25.53801427856723,1109.1994777267832,1364.800998763638
50,0,0,0,167.8963302900841,25.543282432043416,1106.2746995713203,875.3201373328345
60,0,0,0,166.41537346528807,25.55748372951876,1101.5935481009046,509.6304988086253
70,0,0,0,159.32659790164502,22.75647707130624,1058.0964436491784,-190.95105448120412
80,0,0,0,156.86753629458053,25.663388837725925,1065.1244973961009,-187.39656216234138
90,0,0,0,161.81932609173566,25.612544222405155,1079.9017179434868,-85.73014439018374
100,0,0,0,160.30342120363966,22.286660415102357,1054.4076611662094,-1617.7985700926456
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,173.63164413383686,25.49271838154669,1140.304688966011,1598.7847081720693
20,0,0,0,174.83063630156443,25.48827925461367,1155.0685340264313,1513.8263102518288
30,0,0,0,171.5946240959759,25.512534465099282,1125.3189496012378,1449.9286596874035
40,0,0,0,169.8834515137056,24.73768499843623,1110.0347772390905,1030.186617275294
50,0,0,0,164.14051610720142,25.57935166803794,1108.0725037301158,1217.5856695127302
60,0,0,0,163.90985514969472,23.265006657364072,1072.6726881620234,38.486462594302765
70,0,0,0,159.00076912537182,22.60573059994119,1062.9153810375212,-101.53411548861838
80,0,0,0,161.68571322800193,25.607020725686017,1088.9276619363816,280.4634079726666
90,0,0,0,157.06427256310482,25.66013459675946,1070.9625702944309,-71.90161577349282
100,0,0,0,154.70864641152343,25.43333976469339,1098.1841624470608,-199.81904540815844
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,174.75262623769143,25.485921468959273,1150.5949873660038,1598.8287191936824
20,0,0,0,170.63459514778782,25.5186315529025,1129.512097208455,1513.6437736793073
30,0,0,0,173.803342151238,25.491992127050295,1130.348387750272,1450.0391708531467
40,0,0,0,165.98121646932051,24.097661714619232,1097.945240897331,1023.130570084021
50,0,0,0,168.4246099575865,25.541440124281717,1108.0350389676576,913.0043998366672
60,0,0,0,169.63047498507228,25.5321280315465,1094.8664240991423,502.1110719726414
