Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao
20,0,0,0,173.5363504889226,25.39520069886195,1137.9754721990384,1471.27297937252
30,0,0,0,171.1638784182992,24.573120930625286,1116.8216663936523,1364.916598698816
40,0,0,0,166.7627263478179,25.552888279902263,1114.7751968974658,1258.489593749437
50,0,0,0,163.40266018448216,25.587711088096935,1110.3114011942496,1152.1189270553982
60,0,0,0,157.08561736035378,23.27029478102789,1077.3441963020753,568.4845366062864
70,0,0,0,156.05066328608027,25.600740966434035,1103.9308035793797,851.1989921807913
80,0,0,0,158.9416686910896,25.65321196137627,1079.4343044323768,247.38971396544756
90,0,0,0,158.892958040025,25.64062915118062,1086.1012848679463,-16.06482735837478
100,0,0,0,152.63186744823165,25.051102623365246,1124.263956063631,237.3586916600279
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.9563132853358,25.47677759344574,1152.8155780210457,1577.6372714464246
20,0,0,0,171.4814449457872,25.512054747237823,1137.3421332859698,1471.1802013356005
30,0,0,0,165.95651366308948,24.508272433958425,1108.8044917068496,1364.698763051328
40,0,0,0,161.5247855273136,25.60512139646462,1102.8709429366654,1258.313523202732
50,0,0,0,160.4133934290557,25.619257383514356,1095.831535256112,1112.3766001072706
60,0,0,0,158.38644742350291,23.99934132781217,1106.9589926868725,634.4967466825319
70,0,0,0,157.990123079915,23.188374848248557,1076.1620193265403,233.1140124311755
80,0,0,0,160.2247288591505,25.62796475672094,1107.184720739277,215.5470438854577
90,0,0,0,150.94398953967635,22.860456155957813,1067.2437664167578,-466.96307135994874
100,0,0,0,152.0350284643657,25.235150769850364,1098.1422814805248,-306.2474927542294
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,176.50197761463178,25.47187294958747,1156.4597833933296,1577.66584515855
20,0,0,0,171.1249366785155,25.407734635265964,1135.2999431121038,1471.1591299648774
30,0,0,0,170.788201334637,25.515532894211432,1133.0439323988612,1364.9102735480787
40,0,0,0,163.67417894131236,25.580869751033667,1115.1243754554964,1258.3851806300715
50,0,0,0,159.92518250587398,25.624992018194522,1132.7328007297083,1152.0093440823457
60,0,0,0,163.7183585688929,25.58292159032872,1104.078513359228,830.8013862648979
70,0,0,0,163.23186108220656,25.61539758326874,1116.6419794431704,548.7325649095823
80,0,0,0,158.38390703752125,25.649718128041304,1105.9211972327105,579.5847105350913
90,0,0,0,151.01052607559038,25.06497136914725,1097.6827894463609,-55.52946037803423
100,0,0,0,153.28098073496676,22.426324449199996,1062.754044239671,-961.528288694091
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,172.74761139839194,25.49982188690147,1142.2854579668385,1577.4930275868267
20,0,0,0,172.0294399571074,25.511586213020333,1139.0605445997721,1471.1945831111068
30,0,0,0,163.94592626027068,25.57771279953252,1125.4444426843409,1364.6500600070112
40,0,0,0,162.79191106545213,25.59197067726322,1120.2057978140833,1258.3527975197915
50,0,0,0,164.06320360615376,24.669002195294215,1110.7041861610987,918.3876755195361
60,0,0,0,157.99214854213642,23.762301270840712,1095.636749268359,557.6119723522958
70,0,0,0,161.17909664226997,25.61482759929981,1122.3911902721645,530.8335192699973
80,0,0,0,157.28640206458283,23.147348569171278,1076.3397174910924,-136.3918349107558
90,0,0,0,157.3847524849684,22.38401250878053,1053.2371422417325,-607.0666580731606
100,0,0,0,152.77797318799188,25.03437233002671,1122.8859681396777,67.96909979750912
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,172.86267708675732,25.499369823971005,1143.8663582865163,1577.4985700165657
20,0,0,0,169.39544294336136,25.52849717962934,1134.2572563740462,1471.0955718935352
30,0,0,0,167.43537824771394,25.54489255481429,1114.0485926301856,1364.7733548196634
40,0,0,0,162.06428552629913,25.600845490761323,1103.27475326667,1258.341535662627
50,0,0,0,163.63911929175762,23.975285373881796,1100.798888383491,982.1216181265502
60,0,0,0,158.1537771939455,23.342207290853736,1079.5439940979381,568.3161182547492
70,0,0,0,156.780031693193,25.665935692882844,1099.8627613424103,586.9785532987871
80,0,0,0,157.5811175358919,25.66477754635476,1081.665380519225,284.88630520710893
