Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,171.03922595153185,25.513702909948456,1144.0884287228407,1534.9162695459988
20,0,0,0,167.7338706442624,25.121444544412547,1125.3117146840693,1407.2706612147078
30,0,0,0,167.25381845415043,25.096502007749795,1121.267058043078,1279.7517088055458
40,0,0,0,161.57196590960993,24.643189969753475,1113.0798898601668,1152.051286845177
50,0,0,0,157.86455050341866,25.649958714940055,1118.5220825008078,1021.5067776935585
60,0,0,0,158.2100905046183,24.636994656398887,1106.2129804416795,830.1893564663516
70,0,0,0,155.31452151405327,24.496507282212747,1131.8582312435726,639.0598254534874
80,0,0,0,151.53065180007266,25.05348184953043,1128.9918409858678,370.6074146494532
90,0,0,0,152.25853627376182,23.166297958327057,1097.2667830548871,-43.891328756038654
100,0,0,0,151.74069273859175,25.061953530763937,1122.2550196061522,-458.53037710628047
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,174.71015541011315,25.486606262666523,1153.1364460515858,1535.0762304601997
20,0,0,0,169.03200273508375,25.538338711346857,1140.1206698035978,1407.312670197535
30,0,0,0,170.7398143405598,25.52045979641346,1136.0466195501322,1279.8917511333998
40,0,0,0,166.90831925305298,25.551029261257032,1130.9164895796107,1152.2447151781253
50,0,0,0,156.08345849510545,24.488434859372706,1119.0373165325634,1021.6202305411272
60,0,0,0,158.1427297705113,24.280596812271646,1107.8742548806079,810.7059916512712
70,0,0,0,154.63440252705524,23.816998007732547,1086.6611840890953,639.0731576861399
80,0,0,0,156.1048082222527,25.417778146625633,1112.3129687848973,368.5257745988034
90,0,0,0,151.5007602598684,25.016356294964798,1144.2450203075095,-43.069832193578584
100,0,0,0,151.7247503478036,23.785020167356198,1137.9676412499823,-456.44539633963234
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,171.58069102411292,25.51080849203083,1147.2792276622567,1534.9342635480632
20,0,0,0,168.14907753393817,25.5406310079488,1132.6478196795058,1407.2891496495217
30,0,0,0,166.073462428823,25.565664177690604,1122.666406623799,1279.7022561594133
40,0,0,0,159.641954677095,25.626819494693713,1124.3443093513258,1152.005209487894
50,0,0,0,160.6356144997558,24.00676969407768,1090.726943178167,1021.4314919997745
60,0,0,0,158.75167934087958,24.51756394656848,1124.000597647805,830.2483321822456
70,0,0,0,156.80232335854396,23.14520716643762,1084.500952263636,565.2503201988964
80,0,0,0,151.9672925806869,23.378497406093327,1107.2722776131657,362.10687024986777
90,0,0,0,153.2568791018629,25.030051897624645,1121.7794093676123,-44.03068551123976
100,0,0,0,149.850036524056,24.798651479033296,1159.900084455989,-455.32009132334923
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,171.59294332169685,25.50862977367669,1144.4597683558395,1534.946428400058
20,0,0,0,171.8788408236818,25.507046929140056,1133.8832646060569,1407.4527155398866
30,0,0,0,163.52197666144377,25.1179326841502,1115.029234163033,1279.6137619356414
40,0,0,0,162.48978926431076,24.911724256002802,1127.5147625766815,1152.0928385309207
50,0,0,0,160.2596123786715,24.711103383871894,1117.2545722870886,1021.4333206770867
60,0,0,0,156.90409640422763,25.555777588451537,1121.7179591205263,830.2494691164294
70,0,0,0,151.3058982512823,25.04249333151158,1144.8411704698003,639.5324673226525
80,0,0,0,152.95233789834452,23.133776103139194,1092.112842587461,244.53626021592646
90,0,0,0,149.55581505232382,25.011496771608027,1152.2905156149404,-41.147281535934574
100,0,0,0,151.28215719096912,25.09753840713956,1156.1594381519997,-458.23476434212205
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,172.83229815730076,25.50228143145659,1146.7018948041095,1534.9855708066839
20,0,0,0,166.92127299306105,25.19829744623148,1127.1540657462463,1407.2466606845237
30,0,0,0,165.90012700090193,25.25140661856698,1118.5142844922025,1279.7013187250082
40,0,0,0,160.81546755003924,25.61371818175314,1137.9067375182422,1152.0589773198276
50,0,0,0,159.55261080282654,24.435411383726134,1109.6765427034984,1021.446028017456
60,0,0,0,158.61525342095484,25.654149975538683,1118.4638853762276,830.2187581670422
70,0,0,0,151.16164548166387,23.510805519348153,1109.9537644774334,498.77350782864767
80,0,0,0,153.83952753334847,25.22001328536599,1145.6850020117733,370.9182678072216
90,0,0,0,149.96907888156053,22.929897184300376,1107.7934015874023,-41.99379700726525
100,0,0,0,150.25502676079748,25.138509968471947,1150.8124095329429,-455.0724635458895
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,172.2458752508059,25.50615721092682,1146.3363437734154,1534.9648390367279
20,0,0,0,169.47979782301738,25.473905958508198,1133.9433717021577,1407.3402060936373
30,0,0,0,163.76084244067263,25.5799175703914,1140.9378189392335,1279.6469074521065
40,0,0,0,165.36042160911242,25.566261197386126,1139.108994297995,1152.1798369844776
50,0,0,0,155.38057096418683,24.335730323229807,1122.0414551922015,1021.6654174704365
60,0,0,0,155.7246523342264,25.654559811949504,1122.0410509956432,830.3292901621103
70,0,0,0,154.06943021370634,25.221433364770512,1120.8028777085833,639.1636235789748
80,0,0,0,153.5702088523713,25.203419260983328,1119.7487692593022,369.3271337321094
90,0,0,0,149.51436792700454,24.95465864084598,1166.9194346642537,-40.861816938584695
100,0,0,0,149.40174523163031,24.835913985840726,1162.6171316923653,-454.533622126933
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,172.58972504806266,25.50098767904402,1142.1223940495304,1534.9924612338339
20,0,0,0,167.4716020748338,25.54576285758726,1138.2292237950016,1407.2630063160482
30,0,0,0,168.74372099345385,25.53602875703998,1124.0987940898106,1279.810367515469
40,0,0,0,159.64746908089106,25.628816256605088,1131.5028367390476,1152.0028096903939
50,0,0,0,161.20888061444492,25.622691510347856,1124.5044369536524,1021.4318571094806
60,0,0,0,163.04493249190884,25.603961786702456,1118.7122379693965,830.1791524115379
