Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao
50,0,0,0,171.22513681494675,22.395242652212424,1081.9923721989103,-112.87949317523378
60,0,0,0,173.83941035220096,22.61971324209999,1089.2182347412056,-745.4670184121607
70,0,0,0,172.87181125540252,23.294241225544436,1091.2792872573948,-1052.773248909221
80,0,0,0,174.3541541800438,21.990100942638104,1090.973093390579,-1763.931513415885
90,0,0,0,169.54155823614644,25.527452049645056,1082.1133098896314,-895.1328619244332
100,0,0,0,168.63450533909253,22.38173569354727,1076.043489406149,-2267.270035042195
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.71421643172803,25.477235243316304,1143.8192283514688,1641.3793489829525
20,0,0,0,175.15128838958017,25.48196637884705,1136.4107653666913,1620.1008738122769
30,0,0,0,174.17481733794958,25.48953326482528,1120.6628837347282,1460.6993491093647
40,0,0,0,174.07635919968266,25.490584399875363,1111.5725563170415,777.3143761319238
50,0,0,0,172.92190076042414,23.18894046267066,1098.1324410604227,201.22117567222782
60,0,0,0,172.55065187868038,22.832124599973792,1088.81143077373,-518.7938435820408
70,0,0,0,171.778527094739,25.509362651480505,1096.8086236828444,-608.1608052408346
80,0,0,0,170.24354489992075,22.36176545559456,1077.6291641687694,-1568.4963668907112
90,0,0,0,170.46456075654032,21.97861779897324,1077.179748003332,-2434.140167925313
100,0,0,0,167.06866587071738,22.068660939721653,1070.236819387275,-2868.957505170317
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.66731036786643,25.477433947657076,1144.6392144812548,1641.3783179745635
20,0,0,0,175.69733606263466,25.478755217786958,1142.2666375832625,1620.1237650350477
30,0,0,0,174.78055458954802,25.484426377667738,1127.9161985100066,1267.815214813684
40,0,0,0,175.7150954525814,23.137033716193937,1107.110806321409,602.3601994188745
50,0,0,0,171.7393983955253,25.508917990150024,1099.9974876037113,385.0881011542992
60,0,0,0,171.87414849033294,25.507065937567397,1092.8001504732722,-149.5174206428224
70,0,0,0,172.6024069529449,25.503595194561555,1101.2306395594715,-572.4213220857806
80,0,0,0,170.19889493975654,24.94278306935571,1083.2699790348634,-1073.1602683351148
90,0,0,0,170.2324212027401,25.042511247594334,1083.6817562731414,-1540.2194716139766
100,0,0,0,168.31559610104765,21.90819418154499,1074.2751165405332,-2423.6019618145897
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.72063879315593,25.477205322002337,1143.813421193652,1641.379588781536
20,0,0,0,175.78006672980862,25.478838586773893,1142.7925230005328,1620.1263991517174
30,0,0,0,173.89096572871404,25.491434641577083,1120.2877343552427,1240.4463621399664
40,0,0,0,174.54165463801,25.48731220081422,1127.6278583031265,780.0558263288146
50,0,0,0,173.1925070120546,23.509996098531204,1092.4353427722451,10.082362030515274
60,0,0,0,173.482582210006,25.35713672875258,1097.6771263874446,-148.54382999892044
70,0,0,0,170.047477507882,25.523785724538918,1087.106645933818,-64.3479887363508
80,0,0,0,173.84014185836378,25.494579146368316,1104.8046118841103,-327.36096835663386
