B Vmin,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.3999999999999995,15.0,24.8,30.599999999999998,34.4,36.4,32.2,33.6,36.0,32.6,34.8,31.8,32.800000000000004,34.4,33.0,31.2,36.0,34.8,33.2,36.0,31.2,34.599999999999994,29.799999999999997,35.0,32.0,36.6,33.800000000000004,32.2,32.0,35.6,30.8,34.0,36.199999999999996,35.8,28.799999999999997,32.6,34.0,34.599999999999994,29.799999999999997,28.000000000000004,28.199999999999996,24.4,19.0,13.600000000000001,4.0,2.4,3.8,6.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,6.4,15.4,24.0,34.599999999999994,28.799999999999997,19.8,10.4,2.8000000000000003,1.4000000000000001,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,0.2,0.4,2.1999999999999997
2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.3999999999999995,13.200000000000001,20.0,12.6,7.8,2.1999999999999997,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,0.2,0.4,3.4000000000000004,4.8,0.0,0.8,6.4
3,0.0,0.0,0.0,0.0,1.2,25.4,33.6,28.599999999999998,15.8,7.3999999999999995,3.0,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.6,1.2,0.6,0.6,0.8,0.8
4,0.0,0.0,0.0,0.0,14.799999999999999,7.000000000000001,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.2,1.2
5,0.0,0.0,0.0,5.6000000000000005,6.4,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,1.6,1.4000000000000001,1.0
6,0.0,0.0,2.4,25.0,6.4,1.7999999999999998,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.4000000000000001,0.2
7,0.0,0.0,8.799999999999999,41.0,67.60000000000001,63.800000000000004,63.4,66.60000000000001,69.8,66.2,69.0,67.60000000000001,62.4,66.2,65.2,64.8,66.60000000000001,64.2,63.2,67.4,66.4,64.0,67.4,65.2,68.2,67.2,65.60000000000001,67.0,68.8,64.0,65.2,66.8,64.0,68.8,65.4,70.19999999999999,65.0,68.0,63.4,66.2,67.80000000000001,68.0,64.4,69.19999999999999,66.0,63.800000000000004,64.2,71.2,67.4,66.0,64.60000000000001,67.60000000000001,69.39999999999999,65.60000000000001,66.4,62.0,63.6,65.4,61.0,60.4,59.0
8,0.0,0.0,12.8,13.4,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.6,0.4,0.2,0.4,3.0,1.0
9,0.0,0.0,32.800000000000004,10.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.8,0.2,1.0,1.2,3.0,1.6
