B Vmin,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.8,1.4000000000000001,3.4000000000000004,4.2,3.5999999999999996,3.8,4.8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.4,1.4000000000000001,2.1999999999999997,4.0,4.2,5.0,7.3999999999999995,7.6,8.200000000000001,9.4,10.6,14.6
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,1.2,2.6,4.0,8.0,8.4,10.8,14.799999999999999,17.599999999999998,19.400000000000002,21.8,26.0,25.4,28.199999999999996,30.4,32.800000000000004,30.599999999999998,31.8,30.0,25.0,30.4,22.6,25.2,21.8,17.0,19.6,17.4
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,3.4000000000000004,4.0,8.200000000000001,13.0,17.4,19.2,25.8,26.400000000000002,27.800000000000004,28.599999999999998,30.2,32.4,31.2,31.8,34.2,28.199999999999996,33.0,30.8,35.199999999999996,31.8,27.200000000000003,24.8,23.400000000000002,19.0,14.2,14.2,11.0,6.4,7.3999999999999995,3.0,2.0,1.0,1.2,0.2,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,5.2,11.799999999999999,16.400000000000002,19.2,19.8,16.0,12.6,11.0,5.4,6.4,3.0,2.0,1.0,0.4,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.4,98.6,94.8,87.6,80.2,76.8,72.0,71.0,70.0,69.8,68.8,67.2,69.19999999999999,69.39999999999999,68.8,67.2,68.2,68.0,65.8,71.8,65.60000000000001,68.0,62.2,64.2,64.8,66.8,65.8,66.2,68.2,66.4,67.2,67.60000000000001,66.8,68.60000000000001,67.4,65.8,66.8,65.8,65.2,70.39999999999999,63.4,68.60000000000001,63.800000000000004,65.8,70.0,66.0,63.2
