B VminVmax,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.7999999999999998,3.8,8.6,11.0,15.0,19.400000000000002,25.2,25.0,24.0,22.8,29.799999999999997,25.2,23.200000000000003,26.8,19.400000000000002,20.0,21.2,19.6,17.2,14.6,9.2,7.8,8.799999999999999,6.4,4.8,4.2,2.6,2.6,2.0,0.6,0.8,0.4,1.0,0.2,0.2,0.0,0.2,0.2
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,4.6,8.6,16.2,15.4,25.6,31.6,36.199999999999996,43.0,45.6,43.8,39.4,34.599999999999994,34.2,33.6,31.0,27.800000000000004,21.0,21.6,16.0,12.2,9.2,8.200000000000001,4.3999999999999995,3.5999999999999996,3.4000000000000004,2.8000000000000003,1.2,0.2,0.6,0.4,0.6,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999997,7.3999999999999995,14.799999999999999,30.0,44.4,59.8,66.2,72.8,81.0,87.2,92.60000000000001,91.0,88.6,82.6,83.0,72.6,63.800000000000004,56.599999999999994,44.4,37.8,31.0,27.6,23.200000000000003,18.2,13.4,8.4,7.199999999999999,5.800000000000001,4.8,2.6,2.1999999999999997,1.2,1.4000000000000001,1.2,0.6,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001,18.0,32.800000000000004,43.8,39.2,37.6,31.2,25.6,21.8,15.0,10.6,6.0,3.5999999999999996,2.6,1.2,0.6,0.2,0.8,0.2,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.4,11.4,35.0,49.8,52.400000000000006,42.0,32.800000000000004,25.8,15.8,8.200000000000001,8.0,5.0,3.8,1.6,0.2,0.6,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,2.4,34.0,55.00000000000001,50.2,34.8,23.200000000000003,16.8,7.3999999999999995,4.8,2.1999999999999997,0.8,0.2,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,9.0,13.200000000000001,8.200000000000001,4.6,2.1999999999999997,1.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,89.2,84.8,52.0,24.2,10.2,6.2,2.8000000000000003,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.4,0.6,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,100.0,10.8,3.8,0.4,1.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.6,0.6,0.2,0.6,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.6,0.4,0.4,0.2,0.4,0.2,0.4,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.4,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.6,0.6,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
