B Vmin,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.4,1.7999999999999998,1.4000000000000001,1.2,5.0,3.5999999999999996,4.2,8.0,8.200000000000001,9.4
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,3.5999999999999996,3.5999999999999996,6.2,7.6,12.0,18.8,20.0,22.6,23.599999999999998,38.2,38.2,39.4,49.8,48.6,53.800000000000004,53.6,53.6
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,2.6,4.0,6.6000000000000005,9.8,15.6,19.0,23.0,30.2,35.4,40.6,50.6,56.39999999999999,56.39999999999999,61.6,68.60000000000001,70.0,77.60000000000001,80.2,81.6,83.0,82.19999999999999,80.60000000000001,76.0,74.6,72.0,72.6,58.4,60.0,54.2,45.800000000000004,46.800000000000004,37.8,37.6,36.199999999999996
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,2.1999999999999997,4.0,10.0,14.6,20.0,26.6,33.6,36.6,36.0,40.0,40.8,40.6,37.4,40.8,34.2,33.2,33.6,32.4,27.200000000000003,26.0,18.8,15.0,14.399999999999999,10.4,9.8,6.800000000000001,4.8,4.3999999999999995,5.0,2.0,1.7999999999999998,0.6,1.4000000000000001,0.8,0.4,0.4,0.4,0.6
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,4.6,8.6,16.2,15.8,26.200000000000003,33.2,38.800000000000004,45.2,47.199999999999996,46.400000000000006,41.8,36.6,35.6,35.0,32.6,29.2,23.400000000000002,22.6,16.2,13.0,9.4,8.6,4.8,3.5999999999999996,3.4000000000000004,2.8000000000000003,1.2,0.4,0.4,0.4,0.6,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999997,7.3999999999999995,14.799999999999999,30.0,44.4,59.8,66.2,72.8,81.0,87.2,92.60000000000001,91.0,88.6,82.6,83.0,72.6,63.800000000000004,56.599999999999994,44.2,37.6,31.0,27.6,23.200000000000003,18.0,13.4,8.4,7.000000000000001,5.800000000000001,4.6,2.4,2.1999999999999997,1.0,1.4000000000000001,1.2,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001,18.0,32.800000000000004,43.8,39.2,37.6,31.2,25.6,21.8,15.0,10.6,6.0,3.5999999999999996,2.6,1.2,0.6,0.2,0.8,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.4,11.4,35.0,49.8,52.400000000000006,42.0,32.800000000000004,25.8,15.8,8.200000000000001,8.0,5.0,3.8,1.6,0.2,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,2.4,34.0,55.00000000000001,50.2,34.8,23.200000000000003,16.8,7.3999999999999995,4.8,2.1999999999999997,0.8,0.2,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
