B Vmin,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,1.7999999999999998,4.8,4.2,6.2,5.0,8.799999999999999,9.6,12.6,12.0,19.400000000000002,20.200000000000003,19.6,23.799999999999997,23.0,22.6,22.6,23.400000000000002,25.8,23.599999999999998,23.200000000000003,25.4,33.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,2.8000000000000003,3.0,5.800000000000001,8.4,9.2,9.0,11.200000000000001,8.200000000000001,6.2,7.000000000000001,5.2,5.2,5.2,4.3999999999999995,5.2,4.3999999999999995,6.2,6.6000000000000005,7.000000000000001,6.2,5.800000000000001,3.5999999999999996
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.7999999999999998,1.7999999999999998,3.8,3.0,4.6,3.5999999999999996,3.2,2.0,1.7999999999999998,1.7999999999999998,0.8,1.2,0.4,1.2,1.2,1.7999999999999998,1.7999999999999998,1.2,2.0,0.8,1.0,0.8,0.6
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4000000000000001,1.6,2.4,2.4,3.4000000000000004,3.8,3.4000000000000004,1.7999999999999998,1.2,1.2,1.0,0.8,0.4,0.8,1.0,1.2,0.8,0.8,1.0,1.0,0.4,0.2,0.0,0.0,0.2,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1.2,1.4000000000000001,2.0,1.4000000000000001,2.4,3.5999999999999996,4.6,3.8,3.0,2.6,1.6,1.2,1.6,0.8,2.4,4.2,3.5999999999999996,5.0,3.2,2.4,1.0,0.4,0.2,1.2,0.0,0.6,0.0,0.2
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,2.6,4.6,7.6,11.0,9.4,15.2,10.0,8.0,6.2,5.0,4.3999999999999995,4.2,3.8,4.6,4.8,4.6,3.0,1.7999999999999998,0.8,0.4,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,2.0,3.4000000000000004,2.6,6.2,7.199999999999999,6.6000000000000005,5.6000000000000005,3.4000000000000004,2.4,2.0,0.8,1.6,2.1999999999999997,2.4,4.6,4.0,3.0,1.6,2.1999999999999997,1.4000000000000001,1.0,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,2.6,10.2,12.6,16.2,20.4,19.8,18.0,18.4,14.799999999999999,14.399999999999999,12.4,10.8,11.0,10.0,8.0,7.199999999999999,6.0,4.8,2.8000000000000003,2.1999999999999997,1.4000000000000001,0.8,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,4.6,2.1999999999999997,2.4,2.1999999999999997,0.4,1.4000000000000001,0.6,0.6,1.0,0.2,0.6,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4000000000000001,1.6,4.6,2.4,4.0,1.6,1.6,1.6,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.4000000000000001,0.8,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,4.8,5.6000000000000005,3.4000000000000004,2.6,2.0,1.7999999999999998,2.6,2.8000000000000003,1.2,2.1999999999999997,0.4,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.8000000000000003,7.8,10.0,9.2,9.2,6.2,5.0,5.0,3.2,2.1999999999999997,2.8000000000000003,4.3999999999999995,2.1999999999999997,0.4,0.6,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,1.4000000000000001,2.8000000000000003,2.6,2.8000000000000003,1.7999999999999998,1.7999999999999998,1.6,1.2,1.2,0.4,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.7999999999999998,1.7999999999999998,2.1999999999999997,1.6,0.4,2.6,2.0,1.6,1.2,0.6,0.6,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.6,0.4,1.0,0.4,0.8,0.8,0.4,0.8,0.2,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.2,0.6,1.2,1.6,1.4000000000000001,1.0,1.2,0.4,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,2.0,1.6,1.0,1.0,1.4000000000000001,0.4,1.4000000000000001,0.2,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.2,1.2,0.0,1.4000000000000001,0.6,0.6,1.4000000000000001,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.2,1.0,0.6,2.4,1.0,0.8,1.0,0.4,0.4,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.2,1.6,1.0,1.6,0.8,1.0,1.4000000000000001,3.4000000000000004,5.0,9.2,12.0,13.0,15.6,16.2,18.8,18.8,19.400000000000002,27.0,25.6,21.6,23.799999999999997,24.6,25.0,26.8,25.0,26.200000000000003,24.6,24.0,25.0,22.0,22.400000000000002,24.8,22.2,22.6,25.4,23.200000000000003,25.6,22.2,25.8,26.0,20.8,25.2
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,2.0,1.4000000000000001,0.8,1.2,0.2,2.1999999999999997,4.6,4.2,5.0,5.4,4.0,2.8000000000000003,2.4,3.4000000000000004,5.0,4.2,1.6,1.2,0.8,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4000000000000001,1.2,2.0,2.6,4.0,8.799999999999999,10.4,10.8,10.2,10.0,10.2,11.0,8.4,5.800000000000001,6.2,4.2,2.1999999999999997,0.6,0.6,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
