Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao
0,0,0,0,52.95601865552929,26.288611532432824,313.57865157713286,2014.1208312899014
10,0,0,0,48.935694584654954,24.907811041298,288.4981161837368,1374.0326534475007
20,0,0,0,44.66924930591539,26.288611532432824,272.86080669749435,1038.7132082859946
30,0,0,0,42.56358772826506,25.80204304307251,264.7102814487912,-29.73470938507613
40,0,0,0,41.62905113232356,25.26736193730172,261.4697679890464,-933.6659885194283
50,0,0,0,40.948299436040415,24.678918066511983,263.4098055033731,-1828.7195764454916
60,0,0,0,42.074470453610246,24.70816188581958,282.3035544117012,-2971.947479300853
70,0,0,0,41.872914676429374,24.554907551206533,279.7324915703864,-2825.859720606502
80,0,0,0,70.23310496585214,23.7363615267156,419.38650946570687,-6455.215909662645
90,0,0,0,63.859014691389575,23.850975653979344,389.72998372206877,-6451.850624836553
100,0,0,0,85.80113411970815,25.52448916234701,501.28253821607564,-7934.821673853962
0,0,0,0,52.95601865552929,26.288611532432824,313.57865157713286,2014.1208312899014
10,0,0,0,48.8748781056972,26.288611532432824,292.2751455355258,1653.2928737738605
20,0,0,0,47.347202740638075,26.288611532432824,284.5691104910144,835.1570858288599
30,0,0,0,42.20983072674109,25.42187521049504,263.2861130654112,-146.5901231189475
40,0,0,0,43.6119775411744,26.288611532432824,268.16275345577736,-292.80497443287913
50,0,0,0,42.03508761332036,24.967246129285538,278.8310903919828,-2038.9286146429242
60,0,0,0,41.594678026443354,24.721010098898578,272.7943561202188,-2723.303953147096
70,0,0,0,41.21583284645866,24.69758084374338,268.9911819875053,-2864.26982289562
80,0,0,0,49.59506170855816,25.697924900508326,322.691874697064,-3605.0688772747335
90,0,0,0,57.32347642050917,26.288611532432824,358.56568733373257,-5773.364781407416
100,0,0,0,72.8762886246823,22.697311022886616,423.4757143805353,-7808.883608961375
0,0,0,0,52.95601865552929,26.288611532432824,313.57865157713286,2014.1208312899014
10,0,0,0,46.67492768464382,24.728028584629143,278.7447373465729,1481.9378487422014
20,0,0,0,47.763257215825625,26.288611532432824,287.1033777657145,1184.1917845797095
30,0,0,0,43.880667314520224,23.284804338255544,264.91478422337855,-448.9955870677652
40,0,0,0,41.40098056952143,22.829121420406015,254.55075166344216,-1520.91715529628
50,0,0,0,41.79506474789141,24.838084157270163,263.45772110009784,-2075.1699559088074
60,0,0,0,53.676303235514574,23.28492240792637,344.67874218126815,-4120.840090183127
70,0,0,0,51.38946120250454,22.15444195120445,329.82480063419854,-4663.850539875773
80,0,0,0,43.33837765642831,24.668852948410528,290.2787726658293,-3637.767976933499
90,0,0,0,44.4116217942473,24.759710900031198,301.08112537216977,-4437.514981171434
