Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao,Max_Cargamento_Trafo_pct
20,0,0,0,93.63582175690561,69.43969292986289,725.6110863582915,2850.0215296483675,8.83982242886356
30,0,0,0,101.65706796506599,68.74786129871421,722.4923803236354,1814.2747813910876,9.645739587266975
40,0,0,0,93.06166164934598,67.95842230060714,723.8858287229519,555.0379394194775,8.019964759373979
50,0,0,0,139.82609227684497,70.19957707354655,935.1259954779363,-1123.1286049765968,9.470089211580339
60,0,0,0,101.65710912779,71.74114969551793,765.191159744316,190.4324334946627,9.645741662970329
70,0,0,0,134.7757887589761,73.86898581112104,907.8681556047306,-2226.383993695171,10.849632967361329
80,0,0,0,210.89183587352957,77.95073456232139,1245.9029318295325,-3094.100568480309,12.255718652588996
90,0,0,0,310.0845273374664,91.21908330636926,1746.354346725171,-5884.29883907495,16.83733374246679
100,0,0,0,250.08261648126845,77.95073456232139,1418.913043266618,-5348.627847360125,15.89638416961477
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,97.08079386516057,73.62502602987563,772.7685720505002,3979.1236858054,9.195860221063281
20,0,0,0,93.54580132297419,71.51785202527358,745.6658309870207,2808.2502629318474,8.698458492753797
30,0,0,0,101.6570546726364,76.40851224958142,751.9826012092825,2442.5565297257913,9.645739010417788
40,0,0,0,104.81649324743745,66.94351617143356,776.1555736134627,556.8443459282449,7.986348545253344
50,0,0,0,101.65713376504246,70.44837441698834,766.04246514374,23.29284217765054,9.64574269792232
60,0,0,0,129.7389109572992,77.01916122763738,899.0635029558539,-1026.701477541389,9.645743947320092
70,0,0,0,135.99623479827315,74.05489900936536,914.3624323386975,-1098.6207281993848,9.645744468453973
80,0,0,0,139.1595123975674,73.35786153366901,916.5999695287087,-3235.646563513354,12.296922838179611
90,0,0,0,275.3706205661688,82.16871346426466,1557.4080854034175,-4743.039531606821,14.974255882165693
100,0,0,0,200.04079660732663,77.95073456232139,1182.2653932546032,-5395.474180936417,15.819874289503256
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65703508667437,77.95073456232139,790.0333412729462,4129.373063786322,9.645738065389695
20,0,0,0,101.65704950409686,75.31473598374201,754.8082801766325,3191.1478627784304,9.645738721820779
30,0,0,0,101.65707332574979,72.50594562876152,736.5857791939242,1981.078981108425,9.64573989218887
40,0,0,0,102.58362585598556,65.9365236095299,760.8387482178035,349.26688974698664,8.077486718419882
50,0,0,0,118.77769322472727,75.54434364542068,858.7452034381397,42.796575341537654,9.645742580257565
60,0,0,0,118.5212514709935,64.70851953105978,831.5604060524915,-1496.5043512314269,9.857631023863682
70,0,0,0,152.93525651415212,77.95073456232139,995.7151712465254,-2272.4746662247658,10.969915837871737
80,0,0,0,191.21939935062574,70.40860417195591,1155.9259916226404,-3805.5992236315356,13.317204319176811
90,0,0,0,101.65711621078422,74.8230947713392,789.7735625480465,-2673.150435983615,11.279651480044576
100,0,0,0,126.25831843084535,73.22312721642203,877.7022465014495,-4935.672561958481,14.790507151252486
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65703564688867,77.95073456232139,793.5058538924386,4114.016220310595,9.645738154025047
20,0,0,0,101.65704131434234,77.60335120368894,763.9274250637928,3469.2675156707537,9.645738223557503
30,0,0,0,101.65707520511884,74.9261849179706,745.106499882588,2442.0932823269595,9.645739904241967
