Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao,Max_Cargamento_Trafo_pct
30,0,0,0,101.6569968631735,60.81424040489931,619.9890295835121,1852.576266641779,9.645735288573833
40,0,0,0,101.65699203047485,60.72225454876249,690.8601705363342,924.2881542247045,9.64573479570507
50,0,0,0,101.65699840871535,57.20618377972072,599.7418126824297,61.81421047321649,9.645734822980586
60,0,0,0,101.65698755847806,63.23962235351705,745.1142120022181,-15.215799558865372,9.645734091683638
70,0,0,0,94.46957491719957,46.99009900741767,622.1997279140518,-3121.854905751652,5.875300558201834
80,0,354,354,287.4812594044472,76.11139698846348,1605.9172983800124,-4575.049384735158,8.451869910828142
90,0,0,0,121.3542415507668,56.167166213933875,794.2125431305307,-4034.295462475201,9.645732529943713
100,0,528,528,190.09991906270722,53.86292301829083,1082.9979326703183,-5971.454475578356,11.048415006280969
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,94.72997421879684,70.38602442899735,723.629747691335,3944.5765804992398,8.984839074660577
20,0,0,0,101.65700546457616,72.3117291538433,712.7653159780407,3575.5274974846197,9.645736107403852
30,0,0,0,101.65700127923454,63.66595264642984,654.7457500043233,2517.5811248693894,9.645735667616623
40,0,0,0,101.65698804784232,56.98233069735059,632.8019505423657,657.1575899673604,9.645734578542067
50,0,0,0,101.65698676965725,59.956912367888556,666.7326035801697,94.8491866226804,9.645734195757427
60,0,0,0,75.20014704480292,48.05199707386221,548.045559978437,-2194.243950262542,5.272915222077374
70,0,128,128,108.1943264939225,53.59994251181726,742.8861816551303,-2726.2530555515746,9.645733487970842
80,0,0,0,101.65697790547104,53.43875553511051,713.9437416237075,-3118.3725232137676,9.645732848856191
90,0,0,0,101.65697920948035,50.99700529624069,662.5105380461443,-2457.812453004517,9.645733198708077
100,0,355,355,215.77844298183544,74.48710812244744,1223.9339832247356,-4678.6824835659645,9.645732384222217
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65700885568438,76.75525076198687,752.1955802958267,4138.4095786540065,9.645736420634519
20,0,0,0,101.6570090700309,75.18434779086196,730.5727285746322,3575.849852417487,9.645736271165708
30,0,0,0,101.6569968715696,59.47633991570591,611.8460552409208,1653.048566235423,9.645735300528493
40,0,0,0,101.65699695288583,58.801566400044045,618.3140325746945,1772.6580173034724,9.64573523918281
50,0,0,0,101.65699417995403,56.34735843661831,594.1044824988521,780.7188850849808,9.645734771742983
60,0,0,0,91.02740402612632,52.02539855608762,636.9641404387327,-1738.2069880939564,4.936370729445861
70,0,0,0,133.8027404161299,57.612676168121126,866.403441494065,-2701.5883827720654,9.6457331016525
80,0,64,64,144.28169943487754,56.8260019819237,893.0625315455229,-4139.47794452769,7.7308162006356875
90,0,315,315,148.0138752483712,49.00414649766748,855.4244264487204,-5946.311989131477,11.042469890524256
100,0,563,563,324.86074557119736,68.08003022835925,1735.1974936865834,-7257.436820090085,13.358913441837187
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65701503960332,77.95073456232139,792.5750125803861,4265.796892061754,9.645736744479084
20,0,0,0,101.65700429246887,73.60863664448006,715.7477148907544,3488.542186504768,9.645736029315547
30,0,0,0,101.65699662065165,59.5423218559313,627.12220280431,1662.4998127767226,9.645735116711581
40,0,0,0,101.65699538986813,62.23407095319489,637.5042736737119,1781.034620252192,9.645735095364143
50,0,0,0,101.65699100526243,63.42406331545307,684.6929286897528,804.0253405891403,9.645734655557979
60,0,0,0,101.65697995577162,49.14690454903018,550.2641975812118,-798.1060587352175,9.64573379727842
70,0,63,63,157.03266482334035,61.310227372892264,973.3397406818355,-3070.1423515151478,5.783212523858987
80,0,0,0,101.65697764890388,52.21606104172878,589.2578895680192,-1820.9612387958994,9.645733599583874
90,0,405,405,180.29285642081516,56.03977473145978,1022.3128744189024,-5805.338056515099,10.748250445522434
100,0,62,62,162.41707609622694,62.817707064679475,1015.2534020288763,-6489.514856087554,12.105529839043285
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65700951156084,71.55515229554321,741.2897030093164,4052.2301028906977,9.645736496505974
20,0,0,0,88.17753418440785,65.77332577312275,653.3325828548064,2969.9215742449696,8.222492460157131
30,0,0,0,94.02089279876138,71.64244646613987,727.4907497562752,1357.8673409645276,7.023012087035663
40,0,0,0,101.65698879106638,54.02456157324951,575.7146347012995,644.8655893059413,9.64573454292055
50,0,0,0,101.65698639142077,58.68175988945197,611.0891672927669,957.7983897045661,9.645734532397226
60,0,0,0,101.6569858746689,50.19023065763709,601.1466858738816,-1410.0638348297423,9.645733814826665
70,0,0,0,101.65698847220828,54.396877441155645,623.6217009437587,-2173.3993447738867,9.645733976165744
80,0,136,136,119.70450989073959,51.86380573174144,789.2212343777982,-4053.514993103681,9.645732916133495
90,0,279,279,152.9555770685802,54.69126688301476,933.4391891896481,-4685.217311451176,9.64573275898372
100,0,515,515,283.006594536174,60.597124364595025,1509.58998521383,-6259.719609557571,11.543605415715346
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65700670813129,77.4883467090426,760.4564569703182,4138.891626083858,9.64573649519367
20,0,0,0,90.18484833382912,69.44702497416377,673.853635425022,2969.9897274610785,8.260302844715312
30,0,0,0,101.65699893701893,61.045937059957204,621.6558713079494,1847.2237563342687,9.645735522641383
40,0,0,0,78.19514117348417,52.58409983149899,533.4818966705009,389.85760241324107,6.795439582497585
50,0,0,0,101.65698542506405,60.582973214531265,684.9387577566816,6.064549462855357,9.645734125676451
60,0,0,0,101.65700344805724,64.4185869181166,649.6064584963165,-77.08704700569203,9.64573556494222
70,0,0,0,77.99439429786607,57.759415819033805,605.7696252575716,-3209.452134164282,6.076722534294716
80,0,0,0,101.65698841572839,59.7834083983374,720.5380608079859,-1691.8882814999922,9.645733901816456
90,0,0,0,146.35589473945078,44.001400800108215,809.4035601588114,-5836.829761077654,10.83531136785146
100,0,584,584,293.1911966953519,64.25256082852576,1576.9745798768138,-7289.892449485635,13.398543042602912
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65700965754348,73.01800987454995,764.5582491925511,4052.3359973590887,9.645736646153987
20,0,0,0,101.65700658823037,74.63527133467466,729.7506953329269,3260.297805525967,9.645736242477575
30,0,0,0,101.65699662147037,60.908659043704155,631.0988597440319,2017.4305322814994,9.645735230382785
40,0,0,0,101.65699459244274,65.05772966030112,671.6520090171065,1789.6565965318923,9.645735064153204
50,0,0,0,101.65699715689782,68.37766325733767,678.8589940545044,764.9918777003586,9.645735596975099
60,0,0,0,101.65699430214437,61.53000070372539,629.1465028996531,228.33435881531022,9.645734913979101
70,0,138,138,123.22965656586153,55.5892807700434,796.264846576609,-3104.7203875979067,5.841992435719337
80,0,0,0,101.65697918483106,55.50474272576377,704.3846968361058,-3143.7610203333793,9.645733195994339
90,0,0,0,101.65697719192676,50.82006713485545,614.2940951743111,-2483.606016106415,9.645733367590829
100,0,150,150,144.19156778226943,58.30777827231218,891.115123443303,-3495.529379139552,9.64573253276943
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65700957139158,76.20286622300846,758.7654061255241,4115.049093881701,9.645736442041915
20,0,0,0,101.65700089543964,68.90586428466258,685.3092276167904,3227.7581491312067,9.645735931396061
30,0,0,0,101.65701124927779,71.47499490622197,748.2730670015467,1633.5680092616935,9.645736562397705
40,0,0,0,101.65699636903892,61.818073339766165,635.5153865739576,1905.990334490229,9.645735178812805
50,0,140,140,229.64110159842124,80.58050684805588,1395.4061629841365,-592.7539619355563,5.679594213400544
60,0,0,0,101.65698800460366,62.449986991931794,727.0285686743474,-20.024544317991882,9.645733949518535
70,0,0,0,74.58624460417882,52.09350821639493,541.0480890129526,-3743.4513833034193,7.0736898818277245
80,0,0,0,101.38501202600207,48.49048554537863,639.3536203351828,-4075.8210843419,7.6451812112326785
90,0,0,0,124.51814375785425,58.899514328721686,819.8333689896236,-2510.3782519580805,9.645733135400127
100,0,563,563,195.4867919519088,49.14878904119952,1061.608868034715,-7393.045566482399,13.645949547915967
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65701144300847,77.95073456232139,774.8420196287648,4296.4828707681745,9.645736569684559
20,0,0,0,101.65700808900291,74.98927338922715,732.7790388375147,3260.6216745652323,9.645736293373673
30,0,0,0,101.65700093879396,66.428285714635,672.7208423342709,2515.0217118202004,9.645735832182663
40,0,0,0,76.18847225620162,56.55571208364746,579.7444353022906,605.0939827398935,6.573743100750789
50,0,0,0,77.64394125980662,58.35601378468722,572.3238166197414,-761.2252334892253,5.737018791737727
60,0,0,0,84.49052007031894,44.15569083941724,557.8608959768101,-1734.6294229212285,4.932300259002843
70,0,132,132,123.81340398619793,54.670441501368764,820.1637029447597,-3000.8945131361374,9.645733121584527
80,0,0,0,101.6569846451941,52.82587870394512,642.2689468490532,-1692.7636814043071,9.645733436688609
