Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao
0,0,0,0,52.95601865552929,26.288611532432824,313.57865157713286,2014.1208312899014
10,0,0,0,50.2542426582561,25.440375874369693,298.1293207159298,1399.4120652442161
20,0,0,0,50.048580512025474,25.251036021406282,298.2545920411506,503.7149870655806
30,0,0,0,49.85284883571093,26.288611532432824,303.9936921872956,315.3742209554337
40,0,0,0,51.24416831894698,26.288611532432824,314.8710375107332,-936.4970113344078
50,0,0,0,53.18147302598205,25.567577364906924,341.33075234311264,-2417.8218960831928
60,0,0,0,68.542745488183,26.20692648579268,432.1004844209155,-3632.957089378457
70,0,0,0,63.47104876430468,26.288611532432824,399.1492618713085,-2826.4754739415416
80,0,0,0,94.73149940423717,27.654813279990304,555.2149174064511,-5450.445776358674
90,0,0,0,107.13603111269796,26.288611532432824,602.3284421710563,-5819.790561005666
100,0,0,0,104.11347414415467,26.288611532432824,570.8524889302696,-5190.19036462869
0,0,0,0,52.95601865552929,26.288611532432824,313.57865157713286,2014.1208312899014
10,0,0,0,50.249954538448904,25.289912430391468,298.5970537232491,1432.3966322578904
20,0,0,0,49.6510640187407,26.288611532432824,300.14174227964253,838.5828142992184
30,0,0,0,52.73256641159572,25.73157731818736,335.43565031946895,-808.1424233713255
40,0,0,0,52.08964240237267,26.288611532432824,322.9544835096153,-938.0207328485582
50,0,0,0,54.87063058406768,26.288611532432824,352.08091865953617,-2072.5903902197524
60,0,0,0,68.97952204417112,27.397696070737943,440.774336672282,-4112.395014909716
70,0,0,0,82.42645121163702,27.145340675685674,496.8962231898222,-4676.839828906942
80,0,0,0,72.83455246139694,26.288611532432824,437.64272551437017,-3602.7247211054387
90,0,0,0,79.16801049187515,26.288611532432824,463.9423890150382,-4394.596371044748
100,0,0,0,93.39572610273268,26.288611532432824,525.7604728046688,-5202.653630748192
0,0,0,0,52.95601865552929,26.288611532432824,313.57865157713286,2014.1208312899014
10,0,0,0,51.1113734843742,26.288611532432824,304.1727344270799,1808.6521496567293
20,0,0,0,50.02963894778381,26.288611532432824,299.7575049684162,1053.6734267855716
30,0,0,0,49.835478034134,25.074529931437183,298.49686034759344,-596.8322389858897
40,0,0,0,50.92141295923903,26.288611532432824,313.297180533486,-930.9048987995868
50,0,0,0,56.79216324094123,26.288611532432824,359.2952037380269,-1823.8792268075742
60,0,0,0,79.39892139636095,27.654769960692093,484.1915902065903,-3412.8315891361854
70,0,0,0,99.22823771051233,29.355126432413414,588.6163004241445,-5236.870145127237
80,0,0,0,103.45013907755883,27.654844545858605,609.2252927658695,-5740.281150327615
90,0,0,0,90.36088409648562,26.288611532432824,522.2905950167943,-5773.153824803335
100,0,0,0,124.43399269681578,26.288611532432824,679.6996778454068,-6760.540500866324
0,0,0,0,52.95601865552929,26.288611532432824,313.57865157713286,2014.1208312899014
